goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGoPool/SHA256=8kB/Concurrency=1-2        	 1000000	      4360 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=1-2        	 1000000	      4135 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=1-2        	 1000000	      4070 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=1-2        	 1000000	      4029 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=1-2        	 1000000	      4327 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=10-2       	 1000000	      4182 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=10-2       	 1000000	      4361 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=10-2       	 1000000	      4213 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=10-2       	 1000000	      4157 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=10-2       	 1000000	      4293 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=50-2       	 1000000	      4750 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=50-2       	 1000000	      4308 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=50-2       	 1000000	      4858 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=50-2       	 1000000	      4790 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=50-2       	 1000000	      4321 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=100-2      	 1000000	      4390 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=100-2      	 1000000	      4286 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=100-2      	 1000000	      4395 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=100-2      	 1000000	      4140 ns/op	     248 B/op	       5 allocs/op
BenchmarkGoPool/SHA256=8kB/Concurrency=100-2      	 1000000	      4129 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=1-2        	 1000000	     24909 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=1-2        	 1000000	     25477 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=1-2        	 1000000	     28745 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=1-2        	 1000000	     28144 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=1-2        	 1000000	     27654 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=10-2       	 1000000	      1870 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=10-2       	 1000000	      1446 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=10-2       	 1000000	      1383 ns/op	     104 B/op	       1 allocs/op
BenchmarkTunny/Sleep=001ms/Concurrency=10-2       	 1000000	      1400 ns/op	     104 B/op	       1 allocs/op
