goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkProducer/10KB/Goka@ProduceSync-8              	   10000	 103849728 ns/op	   56557 B/op	     139 allocs/op
BenchmarkProducer/10KB/Goka@ProduceSync-8              	   10000	 103887648 ns/op	   56639 B/op	     141 allocs/op
BenchmarkProducer/10KB/Goka@ProduceSync-8              	   10000	 103987184 ns/op	   56450 B/op	     138 allocs/op
BenchmarkProducer/10KB/Goka@ProduceSync-8              	   10000	 103898429 ns/op	   56524 B/op	     139 allocs/op
BenchmarkProducer/10KB/Goka@ProduceAsync-8             	   10000	     23220 ns/op	   48364 B/op	      29 allocs/op
BenchmarkProducer/10KB/Goka@ProduceAsync-8             	   10000	     23152 ns/op	   48254 B/op	      29 allocs/op
BenchmarkProducer/10KB/Goka@ProduceAsync-8             	   10000	     23122 ns/op	   48316 B/op	      29 allocs/op
BenchmarkProducer/10KB/Goka@ProduceAsync-8             	   10000	     23794 ns/op	   48414 B/op	      30 allocs/op
BenchmarkProducer/10KB/Goka@ProduceAsync-8             	   10000	     22957 ns/op	   48324 B/op	      29 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceSync-8            	   10000	   3546376 ns/op	   47669 B/op	      81 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceSync-8            	   10000	   3530405 ns/op	   47582 B/op	      80 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceSync-8            	   10000	   3527461 ns/op	   47567 B/op	      80 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceSync-8            	   10000	   3508716 ns/op	   47539 B/op	      80 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceSync-8            	   10000	   3507388 ns/op	   47529 B/op	      80 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceAsync-8           	   10000	     27529 ns/op	   43964 B/op	      13 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceAsync-8           	   10000	     14116 ns/op	   44003 B/op	      14 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceAsync-8           	   10000	     14148 ns/op	   44040 B/op	      14 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceAsync-8           	   10000	     15708 ns/op	   44027 B/op	      14 allocs/op
BenchmarkProducer/10KB/Sarama@ProduceAsync-8           	   10000	     13992 ns/op	   44065 B/op	      14 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceSync-8         	   10000	  10266737 ns/op	   41668 B/op	      52 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceSync-8         	   10000	  10261184 ns/op	   41590 B/op	      51 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceSync-8         	   10000	  10264569 ns/op	   41687 B/op	      51 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceSync-8         	   10000	  10257285 ns/op	   41506 B/op	      50 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceSync-8         	   10000	  10256542 ns/op	   41733 B/op	      52 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceAsync-8        	   10000	     17707 ns/op	   23979 B/op	      13 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceAsync-8        	   10000	      9845 ns/op	   23340 B/op	      12 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceAsync-8        	   10000	      9902 ns/op	   22993 B/op	      12 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceAsync-8        	   10000	      9986 ns/op	   23205 B/op	      12 allocs/op
BenchmarkProducer/10KB/Segmentio@ProduceAsync-8        	   10000	      9201 ns/op	   23141 B/op	      12 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark/kafkaclient	23752.338s
