goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFastCache/10KB/Remove-2        	  100000	       177.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/10KB/Remove-2        	  100000	       340.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Set-2        	  100000	      2590 ns/op	    1248 B/op	       6 allocs/op
BenchmarkFloatdropLRU/01KB/Set-2        	  100000	      2654 ns/op	    1247 B/op	       6 allocs/op
BenchmarkFloatdropLRU/01KB/Set-2        	  100000	      1997 ns/op	    1247 B/op	       6 allocs/op
BenchmarkFloatdropLRU/01KB/Set-2        	  100000	      2035 ns/op	    1247 B/op	       6 allocs/op
BenchmarkFloatdropLRU/01KB/Set-2        	  100000	      2009 ns/op	    1247 B/op	       6 allocs/op
BenchmarkFloatdropLRU/01KB/Get-2        	  100000	       214.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Get-2        	  100000	       262.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Get-2        	  100000	       180.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Get-2        	  100000	       186.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Get-2        	  100000	       214.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Remove-2     	  100000	       280.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Remove-2     	  100000	       186.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Remove-2     	  100000	       155.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Remove-2     	  100000	       144.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/01KB/Remove-2     	  100000	       155.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Set-2        	  100000	      4779 ns/op	    5472 B/op	       6 allocs/op
BenchmarkFloatdropLRU/05KB/Set-2        	  100000	      3782 ns/op	    5472 B/op	       6 allocs/op
BenchmarkFloatdropLRU/05KB/Set-2        	  100000	      4444 ns/op	    5472 B/op	       6 allocs/op
BenchmarkFloatdropLRU/05KB/Set-2        	  100000	      3239 ns/op	    5472 B/op	       6 allocs/op
BenchmarkFloatdropLRU/05KB/Set-2        	  100000	      3370 ns/op	    5471 B/op	       6 allocs/op
BenchmarkFloatdropLRU/05KB/Get-2        	  100000	       190.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Get-2        	  100000	       210.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Get-2        	  100000	       310.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Get-2        	  100000	       246.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Get-2        	  100000	       519.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Remove-2     	  100000	       204.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Remove-2     	  100000	       157.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Remove-2     	  100000	       156.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Remove-2     	  100000	       150.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/05KB/Remove-2     	  100000	       141.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Set-2        	  100000	      4980 ns/op	   10976 B/op	       6 allocs/op
BenchmarkFloatdropLRU/10KB/Set-2        	  100000	      4727 ns/op	   10976 B/op	       6 allocs/op
BenchmarkFloatdropLRU/10KB/Set-2        	  100000	      5063 ns/op	   10976 B/op	       6 allocs/op
BenchmarkFloatdropLRU/10KB/Set-2        	  100000	      4621 ns/op	   10976 B/op	       6 allocs/op
BenchmarkFloatdropLRU/10KB/Set-2        	  100000	      4898 ns/op	   10976 B/op	       6 allocs/op
BenchmarkFloatdropLRU/10KB/Get-2        	  100000	       186.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Get-2        	  100000	       180.4 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Get-2        	  100000	       184.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Get-2        	  100000	       184.8 ns/op	      39 B/op	       2 allocs/op
BenchmarkFloatdropLRU/10KB/Get-2        	  100000	       186.8 ns/op	      39 B/op	       2 allocs/op
