goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-json
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkStdLib/10KB/Struct@Unmarshal-2           	  100000	    108854 ns/op	   10416 B/op	     340 allocs/op
BenchmarkStdLib/10KB/Struct@Unmarshal-2           	  100000	    114926 ns/op	   10416 B/op	     340 allocs/op
BenchmarkStdLib/10KB/Struct@Unmarshal-2           	  100000	    111173 ns/op	   10416 B/op	     340 allocs/op
BenchmarkStdLib/10KB/Struct@Unmarshal-2           	  100000	    112962 ns/op	   10416 B/op	     340 allocs/op
BenchmarkStdLib/10KB/Interface@Decode-2           	  100000	    139552 ns/op	   81568 B/op	    1685 allocs/op
BenchmarkStdLib/10KB/Interface@Decode-2           	  100000	    138218 ns/op	   81568 B/op	    1685 allocs/op
BenchmarkStdLib/10KB/Interface@Decode-2           	  100000	    141335 ns/op	   81568 B/op	    1685 allocs/op
BenchmarkStdLib/10KB/Interface@Decode-2           	  100000	    136484 ns/op	   81568 B/op	    1685 allocs/op
BenchmarkStdLib/10KB/Interface@Decode-2           	  100000	    144309 ns/op	   81568 B/op	    1685 allocs/op
BenchmarkStdLib/10KB/Interface@Unmarshal-2        	  100000	    142701 ns/op	   46096 B/op	    1667 allocs/op
BenchmarkStdLib/10KB/Interface@Unmarshal-2        	  100000	    140237 ns/op	   46096 B/op	    1667 allocs/op
BenchmarkStdLib/10KB/Interface@Unmarshal-2        	  100000	    123397 ns/op	   46096 B/op	    1667 allocs/op
BenchmarkStdLib/10KB/Interface@Unmarshal-2        	  100000	    124792 ns/op	   46096 B/op	    1667 allocs/op
BenchmarkStdLib/10KB/Interface@Unmarshal-2        	  100000	    123897 ns/op	   46096 B/op	    1667 allocs/op
BenchmarkGoJson/01KB/Struct@Decode-2              	  100000	       928.6 ns/op	    2008 B/op	       8 allocs/op
BenchmarkGoJson/01KB/Struct@Decode-2              	  100000	      1897 ns/op	    2008 B/op	       8 allocs/op
BenchmarkGoJson/01KB/Struct@Decode-2              	  100000	       985.7 ns/op	    2008 B/op	       8 allocs/op
BenchmarkGoJson/01KB/Struct@Decode-2              	  100000	      1239 ns/op	    2008 B/op	       8 allocs/op
BenchmarkGoJson/01KB/Struct@Decode-2              	  100000	      1225 ns/op	    2008 B/op	       8 allocs/op
BenchmarkGoJson/01KB/Struct@Unmarshal-2           	  100000	      2601 ns/op	    2328 B/op	       3 allocs/op
BenchmarkGoJson/01KB/Struct@Unmarshal-2           	  100000	      2698 ns/op	    2328 B/op	       3 allocs/op
BenchmarkGoJson/01KB/Struct@Unmarshal-2           	  100000	      2495 ns/op	    2328 B/op	       3 allocs/op
BenchmarkGoJson/01KB/Struct@Unmarshal-2           	  100000	      2501 ns/op	    2328 B/op	       3 allocs/op
BenchmarkGoJson/01KB/Struct@Unmarshal-2           	  100000	      2876 ns/op	    2328 B/op	       3 allocs/op
BenchmarkGoJson/01KB/Interface@Decode-2           	  100000	     13270 ns/op	    8353 B/op	     219 allocs/op
BenchmarkGoJson/01KB/Interface@Decode-2           	  100000	     13813 ns/op	    8353 B/op	     219 allocs/op
BenchmarkGoJson/01KB/Interface@Decode-2           	  100000	     17835 ns/op	    8353 B/op	     219 allocs/op
BenchmarkGoJson/01KB/Interface@Decode-2           	  100000	     14612 ns/op	    8353 B/op	     219 allocs/op
BenchmarkGoJson/01KB/Interface@Decode-2           	  100000	     12577 ns/op	    8353 B/op	     219 allocs/op
BenchmarkGoJson/01KB/Interface@Unmarshal-2        	  100000	      9473 ns/op	    6953 B/op	     164 allocs/op
BenchmarkGoJson/01KB/Interface@Unmarshal-2        	  100000	      9765 ns/op	    6953 B/op	     164 allocs/op
BenchmarkGoJson/01KB/Interface@Unmarshal-2        	  100000	      9563 ns/op	    6953 B/op	     164 allocs/op
BenchmarkGoJson/01KB/Interface@Unmarshal-2        	  100000	      9585 ns/op	    6953 B/op	     164 allocs/op
BenchmarkGoJson/01KB/Interface@Unmarshal-2        	  100000	      9468 ns/op	    6953 B/op	     164 allocs/op
BenchmarkGoJson/05KB/Struct@Decode-2              	  100000	      1431 ns/op	    4312 B/op	       8 allocs/op
BenchmarkGoJson/05KB/Struct@Decode-2              	  100000	      1552 ns/op	    4312 B/op	       8 allocs/op
BenchmarkGoJson/05KB/Struct@Decode-2              	  100000	      2777 ns/op	    4312 B/op	       8 allocs/op
BenchmarkGoJson/05KB/Struct@Decode-2              	  100000	      1842 ns/op	    4312 B/op	       8 allocs/op
BenchmarkGoJson/05KB/Struct@Decode-2              	  100000	      1416 ns/op	    4312 B/op	       8 allocs/op
BenchmarkGoJson/05KB/Struct@Unmarshal-2           	  100000	     10605 ns/op	    8860 B/op	       3 allocs/op
BenchmarkGoJson/05KB/Struct@Unmarshal-2           	  100000	     10361 ns/op	    8860 B/op	       3 allocs/op
BenchmarkGoJson/05KB/Struct@Unmarshal-2           	  100000	     10110 ns/op	    8859 B/op	       3 allocs/op
BenchmarkGoJson/05KB/Struct@Unmarshal-2           	  100000	     10505 ns/op	    8859 B/op	       3 allocs/op
